"Sample_ID","Watershed","Date","Time","time_since_fire_day","Latitude","Longitude","Location_Change","Discharge_cms","DOC_micro_mol_C_per_L","Levo_micro_mol_C_per_L","B6CA_micro_mol_C_per_L","B5CA_micro_mol_C_per_L","B6CA_and_B5CA_micro_mol_C_per_L","dB6CA_B5CA","Levo_DOC_percent","BPCA_DOC_percent","DBC_micro_mol_C_per_L","DBC_DOC_percent","a254_per_m","SUVA254_L_per_mgC_per_m","Area_square_kilometer","Average_slope_percent","Average_precipitation_milli_meter","Burn_Extent_percent","Area_low_severity_percent","Area_low_to_mod_severity_percent","Area_mod_to_high_severity_percent","Forest_percent","Shrub_percent","Developed_percent","Sandstone_and_sedimentary_percent","Igneous_percent","Suficial_Sediments_percent","Schist_percent"
"SAN-10","San Lorenzo River",2021-03-18,20:30:00,214,37.044037,-122.07214,"N",2.761,270,0.294025453447638,0.9372,2.167,3.1042,0.396,0.108898316091718,1.1497037037037,15.4166666666667,5.7,24.412,3.272,276,33.3,1020,20,12,7,1,80,17,2,86,8,2,3
"SAN-11","San Lorenzo River",2021-05-02,09:10:00,259,37.044037,-122.07214,"N",0.532,159.166666666667,0.335966207351671,0.498,1.1033,1.6013,0.413,0.211078245456548,1.00605235602094,8.41666666666667,5.3,14.048,3.194,276,33.3,1020,20,12,7,1,80,17,2,86,8,2,3
"SAN-2","San Lorenzo River",2020-11-17,23:17:00,93,37.044037,-122.07214,"N",0.974,794.166666666667,1.00141532786481,1.3068,3.3594,4.6662,0.357,0.126096368671329,0.587559286463799,22.8333333333333,2.9,47.672,2.172,276,33.3,1020,20,12,7,1,80,17,2,86,8,2,3
"SAN-3","San Lorenzo River",2020-11-18,10:14:00,94,37.044037,-122.07214,"N",1.758,560.833333333333,0.784699737757494,0.6432,1.7721,2.4153,0.333,0.139916743730905,0.430662704309064,12,2.1,34.545,2.229,276,33.3,1020,20,12,7,1,80,17,2,86,8,2,3
"SAN-4","San Lorenzo River",2020-12-11,11:00:00,117,37.044037,-122.07214,"N",0.428,162.5,0.395873110398421,0.366,0.9218,1.2878,0.364,0.243614221783644,0.792492307692308,6.91666666666667,4.2,12.436,2.769,276,33.3,1020,20,12,7,1,80,17,2,86,8,2,3
"SAN-5","San Lorenzo River",2020-12-13,14:05:00,119,37.044037,-122.07214,"N",2.178,390.833333333333,0.787237583816455,0.7092,1.8469,2.5561,0.352,0.201425394579903,0.654012793176972,13.3333333333333,3.4,30.63,2.836,276,33.3,1020,20,12,7,1,80,17,2,86,8,2,3
"SAN-6","San Lorenzo River",2021-01-04,16:00:00,141,37.044037,-122.07214,"N",1.818,305.833333333333,1.74348758307635,0.6528,1.6665,2.3193,0.359,0.57007768383968,0.758354223433242,11.5833333333333,3.8,28.097,3.324,276,33.3,1020,20,12,7,1,80,17,2,86,8,2,3
"SAN-7","San Lorenzo River",2021-01-27,07:05:00,164,37.044037,-122.07214,"N",19.793,617.5,0.498786084371531,1.9512,4.301,6.2522,0.416,0.0807750743921507,1.0125020242915,29.25,4.75,52.393,3.071,276,33.3,1020,20,12,7,1,80,17,2,86,8,2,3
"SAN-9","San Lorenzo River",2021-02-02,08:15:00,170,37.044037,-122.07214,"N",3.511,355.833333333333,0.247202573368694,1.21866,2.584373,3.803033,0.432,0.0694714491902652,1.06876805620609,18.5833333333333,5.2,32.472,3.302,276,33.3,1020,20,12,7,1,80,17,2,86,8,2,3
"SCT-1","Scott Creek",2020-10-07,NA,52,37.054092,-122.226767,"N",0.32,136.666666666667,0.304348722770445,0.336384,0.821359,1.157743,0.375,0.222694187393009,0.847129024390244,6.25,4.6,14.048,3.72,73.5,35.1,970,98,12,45,42,83,2,15,55,42,3,1
"SCT-10","Scott Creek",2021-03-18,19:33:00,214,37.054092,-122.226767,"N",2.911,167.916666666667,0.180252023017146,0.7044,1.6764,2.3808,0.385,0.107346117925844,1.41784615384615,12.0833333333333,7.651,17.388,3.881,73.5,35.1,970,98,12,45,42,83,2,15,55,42,3,1
"SCT-11","Scott Creek",2021-05-02,10:30:00,259,37.054092,-122.226767,"N",0.992,150.833333333333,0.338276472307882,0.498,1.1825,1.6805,0.386,0.224271694347767,1.11414364640884,8.75,5.825,14.739,3.536,73.5,35.1,970,98,12,45,42,83,2,15,55,42,3,1
"SCT-3","Scott Creek",2020-11-18,11:45:00,94,37.054092,-122.226767,"N",2.469,449.166666666667,2.3192619665721,0.6156,1.5378,2.1534,0.367,0.516347747659836,0.479421150278293,11,2.4,27.866,2.245,73.5,35.1,970,98,12,45,42,83,2,15,55,42,3,1
"SCT-4","Scott Creek",2020-12-11,09:35:00,117,37.054092,-122.226767,"N",0.829,153.333333333333,0.354942117602072,0.42,1.0186,1.4386,0.378,0.231483989740482,0.938217391304348,7.66666666666667,4.971,11.285,2.663,73.5,35.1,970,98,12,45,42,83,2,15,55,42,3,1
"SCT-5","Scott Creek",2020-12-13,14:16:00,119,37.054092,-122.226767,"N",1.447,308.333333333333,0.515296235228815,0.7044,1.6324,2.3368,0.396,0.167123103317453,0.757881081081081,11.75,3.8,23.951,2.811,73.5,35.1,970,98,12,45,42,83,2,15,55,42,3,1
"SCT-6","Scott Creek",2021-01-04,15:10:00,141,37.054092,-122.226767,"N",1.826,250.833333333333,0.349352321623289,0.6012,1.3486,1.9498,0.409,0.139276673072407,0.777328903654485,9.91666666666667,3.9,18.424,2.658,73.5,35.1,970,98,12,45,42,83,2,15,55,42,3,1
"SCT-7","Scott Creek",2021-01-27,07:25:00,164,37.0407,-122.228952,"Y",8.438,906.666666666667,1.78105746860738,2.08578,5.542768,7.628548,0.345,0.196440161978755,0.841383970588235,35.25,3.9,65.405,2.61,73.5,35.1,970,98,12,45,42,83,2,15,55,42,3,1
"SCT-8","Scott Creek",2021-01-28,08:05:00,165,37.0407,-122.228952,"Y",16.412,818.333333333333,1.21218117602072,2.245836,5.75784,8.003676,0.358,0.148128045949579,0.978045947046843,36.8333333333333,4.5,54.581,2.413,73.5,35.1,970,98,12,45,42,83,2,15,55,42,3,1
"SCT-9","Scott Creek",2021-02-02,07:15:00,170,37.054092,-122.226767,"N",5.53,537.5,0.393633763414333,1.624332,3.921016,5.545348,0.38,0.0732341885422016,1.03169265116279,26.25,4.9,38.69,2.605,73.5,35.1,970,98,12,45,42,83,2,15,55,42,3,1
