header,levo_ppb,relative_area_levo,relative_amount_levo,levoglucosan_area,C13_levoglucosan_area,c13_levo_ppb
R1-LAG-9,5.408891615329782,0.27175866495507056,0.5408891615329783,211.7,779,10
R1-MAJ-1,7.045078822590048,0.3658272825583192,0.7045078822590047,236.8,647.3,10
R1-MAJ-10,6.550807062759606,0.33741032576737623,0.6550807062759606,286.9,850.3,10
R1-MAJ-11,4.408550896886884,0.2142465001372495,0.4408550896886884,156.1,728.6,10
R1-MAJ-2,13.336530766321676,0.727539063,1.3336530766321677,521.5,716.8,10
R1-MAJ-3,13.199761887337967,0.7196758673081793,1.3199761887337966,568.4,789.8,10
R1-MAJ-4,5.460043205,0.27469950161243034,0.54600432,187.4,682.2,10
R1-MAJ-5,12.585408124092584,0.6843550867941112,1.2585408124092585,622.9,910.2,10
R1-MAJ-6,6.402918227401261,0.3289078156312626,0.6402918227401261,262.6,798.4,10
R1-MAJ-7,11.55206011126677,0.6249452474813841,1.1552060111266769,570.7,913.2,10
R1-MAJ-8,11.615467603084422,0.6285907075380759,1.1615467603084422,652.1,1037.4,10
R1-MAJ-9,12.55182388586004,0.6824242424242424,1.255182388586004,563,825,10
R1-PESC-1,19.701597495962787,1.0934831460674157,1.9701597495962788,486.6,445,10
R1-PESC-10,8.54925831,0.4523064362498299,0.854925831,332.4,734.9,10
R1-PESC-11,11.846979746695581,0.641900937,1.184697974669558,479.5,747,10
R1-PESC-2,18.302838068840437,1.013064863203197,1.8302838068840437,659.1,650.6,10
R1-PESC-3,10.216235076467228,0.548145225,1.0216235076467228,416.7,760.2,10
R1-PESC-4,15.998211751826073,0.8805659592176446,1.5998211751826072,423.2,480.6,10
R1-PESC-5,18.872754197197537,1.0458308096103373,1.8872754197197537,518,495.3,10
R1-PESC-6,12.219916880296696,0.6633420536298233,1.2219916880296695,405.7,611.6,10
R1-PESC-7,11.777292147550831,0.6378944174757281,1.177729214755083,420.5,659.2,10
R1-PESC-9,11.706673091343244,0.6338343460185482,1.1706673091343245,396.4,625.4,10
R1-SAN-1,8.632565057935363,0.4570959558274884,0.8632565057935363,306.3,670.1,10
R1-SAN-10,7.814663158,0.41007266855066615,0.781466316,406.3,990.8,10
R1-SAN-11,9.811668029086453,0.5248856231803688,0.9811668029086453,378.6,721.3,10
R1-SAN-2,26.06424675499014,1.4592882429662752,2.606424675499014,1566.4,1073.4,10
R1-SAN-3,22.505239618312327,1.2546717542314842,2.2505239618312327,1282.4,1022.1,10
R1-SAN-4,11.414012179391085,0.6170085162528487,1.1414012179391084,514.4,833.7,10
R1-SAN-5,16.378359845279686,0.9024216524216524,1.6378359845279686,886.9,982.8,10
R1-SAN-6,15.251169923544609,0.8376166000380736,1.525116992354461,440,525.3,10
R1-SAN-7DUP,14.93696244546787,0.8195520026646681,1.493696244546787,984.2,1200.9,10
R1-SAN-9,5.722385648988601,0.2897822445561139,0.572238565,276.8,955.2,10
R1-SCT-1,8.672923664694517,0.4594162760971453,0.8672923664694517,431.3,938.8,10
R1-SCT-10,5.429351580943422,0.2729349610908831,0.5429351580943422,382.3,1400.7,10
R1-SCT-11,9.765258657,0.5222174288179464,0.9765258656772209,484.2,927.2,10
R1-SCT-3,68.07043114005263,3.8743319973279893,6.807043114005263,4639.9,1197.6,10
R1-SCT-4,9.607413835,0.513142523,0.960741383,527.1,1027.2,10
R1-SCT-5,12.78520693800139,0.6958420353142205,1.278520693800139,733,1053.4,10
R1-SCT-6,8.024892946059838,0.42215932066316214,0.8024892946059837,417.6,989.2,10
R1-SCT-7,55.39661368505093,3.145681581685744,5.539661368505093,302.3,96.1,10
R1-SCT-8,32.536868287740305,1.8314159292035397,3.253686828774031,413.9,226,10
R1-SCT-9,11.44390950978811,0.6187273907800761,1.144390950978811,1334.1,2156.2,10
R2-LAG-1,5.4860143574599025,0.2761926500798904,0.5486014357459903,242,876.2,10
R2-LAG-10,7.760995800024367,0.4069871938890137,0.7760995800024367,362.3,890.2,10
R2-LAG-11,5.735287341265049,0.2905239960822723,0.5735287341265048,237.3,816.8,10
R2-LAG-2,40.296543524689376,2.277539648521217,4.029654352468937,2125.4,933.2,10
R2-LAG-3,42.51328017497211,2.404985549132948,4.251328017497211,2662.8,1107.2,10
R2-LAG-4,9.466481705618314,0.5050399721932568,0.9466481705618315,435.9,863.1,10
R2-LAG-5,34.35831114235077,1.9361353711790394,3.435831114235077,1418.8,732.8,10
R2-LAG-6,12.960398859633301,0.7059142702116115,1.2960398859633302,650.5,921.5,10
R2-LAG-7,10.072145506116266,0.5398611443619823,1.0072145506116266,451,835.4,10
R2-LAG-8,17.144863744093755,0.9464899361806578,1.7144863744093755,578.4,611.1,10
R2-LAG-9,4.5055709523270595,0.21982443306510607,0.450557095,180.3,820.2,10
R2-MAJ-1,6.874972880006306,0.35604745370370366,0.6874972880006306,246.1,691.2,10
R2-MAJ-10,7.509141649608893,0.39250744997871434,0.7509141649608894,368.8,939.6,10
R2-MAJ-11,7.044927801532257,0.36581859997125193,0.7044927801532257,254.5,695.7,10
R2-MAJ-2,13.354876687804285,0.7285938167830175,1.3354876687804285,511.4,701.9,10
R2-MAJ-3,16.183640365042027,0.8912267278755419,1.6183640365042027,698.9,784.2,10
R2-MAJ-4,6.808576352033659,0.3522301462589145,0.6808576352033658,291.4,827.3,10
R2-MAJ-5,16.252851698906415,0.8952058657642414,1.6252851698906414,793.6,886.5,10
R2-MAJ-6,10.185956390942838,0.5464044253226799,1.0185956390942839,355.6,650.8,10
R2-MAJ-7,18.733844068034657,1.0378445084327437,1.8733844068034655,756.9,729.3,10
R2-MAJ-8,10.647790453123928,0.5729564553093965,1.0647790453123929,675,1178.1,10
R2-MAJ-9,11.30824127080177,0.6109274742368268,1.1308241270801769,628.4,1028.6,10
R2-PESC-1,25.06106784681759,1.4016129032258065,2.506106784681759,608.3,434,10
R2-PESC-10,11.604916281682566,0.6279840848806366,1.1604916281682567,473.5,754,10
