"Sample_ID","Watershed","Date","Time","Latitude","Longitude","Location_Change","Discharge_cms","Flow_category","DOC_mgC_per_L","levo_micro_gram_per_liter","std_levo_micro_gram_per_liter","DBC_mgC_per_L","DBC_DOC_percent","dB6CA_nano_mol_per_L","dB5CA_nano_mol_per_L","dB6CA_B5CA","a254_per_m","SUVA254_L_per_mgC_per_m","Area_square_kilometer","Average_slope_percent","Average_precipitation_milli_meter","Burn_Extent_percent","Area_low_severity_percent","Area_low_to_mod_severity_percent","Area_mod_to_high_severity_percent","Forest_percent","Shrub_percent","Developed_percent","Sandstone_and_sedimentary_percent","Igneous_percent","Suficial_Sediments_percent","Schist_percent"
"PESC-1","Pescadero Creek","7-Oct-20",07:30:00,37.260803,-122.329119,"N",0.02,"B",3.48,22.38133268,3.789717828,0.152,4.4,54.7,170.4,0.321,22.8,2.845,118.7,35.6,700,23,15,7,1,93,4,3,94,6,1,0
"PESC-10","Pescadero Creek","18-Mar-21",19:30:00,37.260803,-122.329119,"N",0.253,"L",2.75,10.0770873,2.160676472,0.155,5.649,65.5,161.8,0.405,19.806,3.127,118.7,35.6,700,23,15,7,1,93,4,3,94,6,1,0
"PESC-11","Pescadero Creek","2-May-21",09:45:00,37.260803,-122.329119,"N",0.07,"B",2.8,14.04618625,3.110147652,0.165,5.876,67,175.3,0.382,19.806,3.072,118.7,35.6,700,23,15,7,1,93,4,3,94,6,1,0
"PESC-2","Pescadero Creek","17-Nov-20",21:53:00,37.260803,-122.329119,"N",0.07,"L",4.95,20.77821802,3.50071589,0.182,3.7,66.2,200.3,0.33,30.86,2.707,118.7,35.6,700,23,15,7,1,93,4,3,94,6,1,0
"PESC-3","Pescadero Creek","18-Nov-20",10:15:00,37.260803,-122.329119,"N",0.107,"L",4.46,12.89015054,3.781487501,0.206,4.6,78.1,228.4,0.342,29.709,2.892,118.7,35.6,700,23,15,7,1,93,4,3,94,6,1,0
"PESC-4","Pescadero Creek","11-Dec-20",13:06:00,37.260803,-122.329119,"N",0.048,"B",3.25,20.06773715,5.755178013,0.182,5.591,72.5,197.2,0.368,20.036,2.677,118.7,35.6,700,23,15,7,1,93,4,3,94,6,1,0
"PESC-5","Pescadero Creek","13-Dec-20",15:16:00,37.260803,-122.329119,"N",0.217,"L",3.91,20.75943334,2.668167228,0.176,4.5,69.4,193.9,0.358,27.175,3.018,118.7,35.6,700,23,15,7,1,93,4,3,94,6,1,0
"PESC-6","Pescadero Creek","4-Jan-21",15:35:00,37.260803,-122.329119,"N",0.077,"L",3.42,14.60244721,3.369406698,0.154,4.5,59.5,166.9,0.356,23.26,2.953,118.7,35.6,700,23,15,7,1,93,4,3,94,6,1,0
"PESC-7","Pescadero Creek","27-Jan-21",07:39:00,37.260803,-122.329119,"N",0.748,"H",3.95,13.55410536,2.512793339,0.208,5.3,90.931,221.665,0.41,30.169,3.316,118.7,35.6,700,23,15,7,1,93,4,3,94,6,1,0
"PESC-9","Pescadero Creek","2-Feb-21",07:46:00,37.260803,-122.329119,"N",0.447,"H",4.46,11.63612657,0.099767845,0.284,6.4,127.343,310.558,0.41,32.703,3.184,118.7,35.6,700,23,15,7,1,93,4,3,94,6,1,0
"SAN-1","San Lorenzo River","7-Oct-20",11:56:00,37.044037,-122.07214,"N",0.345,"B",1.73,9.538789069,1.281594287,0.07,4,24.505,68.975,0.355,12.436,3.121,276,33.3,1020,20,12,7,1,80,17,2,86,8,2,3
"SAN-10","San Lorenzo River","18-Mar-21",20:30:00,37.044037,-122.07214,"N",2.761,"L",3.24,7.945547837,0.185098887,0.185,5.7,78.1,197,0.396,24.412,3.272,276,33.3,1020,20,12,7,1,80,17,2,86,8,2,3
"SAN-11","San Lorenzo River","2-May-21",09:10:00,37.044037,-122.07214,"N",0.532,"B",1.91,9.07892681,1.03625257,0.101,5.3,41.5,100.3,0.413,14.048,3.194,276,33.3,1020,20,12,7,1,80,17,2,86,8,2,3
"SAN-2","San Lorenzo River","17-Nov-20",23:17:00,37.044037,-122.07214,"N",0.974,"L",9.53,27.06158021,1.410442505,0.274,2.9,108.9,305.4,0.357,47.672,2.172,276,33.3,1020,20,12,7,1,80,17,2,86,8,2,3
"SAN-3","San Lorenzo River","18-Nov-20",10:14:00,37.044037,-122.07214,"N",1.758,"L",6.73,21.20520258,1.838530014,0.144,2.1,53.6,161.1,0.333,34.545,2.229,276,33.3,1020,20,12,7,1,80,17,2,86,8,2,3
"SAN-4","San Lorenzo River","11-Dec-20",11:00:00,37.044037,-122.07214,"N",0.428,"B",1.95,10.69781102,1.012861398,0.083,4.2,30.5,83.8,0.364,12.436,2.769,276,33.3,1020,20,12,7,1,80,17,2,86,8,2,3
"SAN-5","San Lorenzo River","13-Dec-20",14:05:00,37.044037,-122.07214,"N",2.178,"L",4.69,21.27378364,6.92317471,0.16,3.4,59.1,167.9,0.352,30.63,2.836,276,33.3,1020,20,12,7,1,80,17,2,86,8,2,3
"SAN-6","San Lorenzo River","4-Jan-21",16:00:00,37.044037,-122.07214,"N",1.818,"L",3.67,47.11484612,45.06204302,0.139,3.8,54.4,151.5,0.359,28.097,3.324,276,33.3,1020,20,12,7,1,80,17,2,86,8,2,3
