sample_id,rep,levo_ppb,relative_area_levo,relative_amount_levo,levoglucosan_area,C13_levoglucosan_area,c13_levo_ppb
SAN-9,1,5.722385649,0.289782245,0.572238565,276.8,955.2,10
SCT-1,1,8.672923665,0.459416276,0.867292366,431.3,938.8,10
SCT-10,1,5.429351581,0.272934961,0.542935158,382.3,1400.7,10
SCT-11,1,9.765258657,0.522217429,0.976525866,484.2,927.2,10
SCT-3,1,68.07043114,3.874331997,6.807043114,4639.9,1197.6,10
SCT-4,1,9.607413835,0.513142523,0.960741383,527.1,1027.2,10
SCT-5,1,12.78520694,0.695842035,1.278520694,733,1053.4,10
SCT-6,1,8.024892946,0.422159321,0.802489295,417.6,989.2,10
SCT-7,1,55.39661369,3.145681582,5.539661369,302.3,96.1,10
SCT-8,1,32.53686829,1.831415929,3.253686829,413.9,226,10
SCT-9,1,11.44390951,0.618727391,1.144390951,1334.1,2156.2,10
LAG-1,2,5.486014357,0.27619265,0.548601436,242,876.2,10
LAG-10,2,7.7609958,0.406987194,0.77609958,362.3,890.2,10
LAG-11,2,5.735287341,0.290523996,0.573528734,237.3,816.8,10
LAG-2,2,40.29654352,2.277539649,4.029654352,2125.4,933.2,10
LAG-3,2,42.51328017,2.404985549,4.251328017,2662.8,1107.2,10
LAG-4,2,9.466481706,0.505039972,0.946648171,435.9,863.1,10
LAG-5,2,34.35831114,1.936135371,3.435831114,1418.8,732.8,10
LAG-6,2,12.96039886,0.70591427,1.296039886,650.5,921.5,10
LAG-7,2,10.07214551,0.539861144,1.007214551,451,835.4,10
LAG-8,2,17.14486374,0.946489936,1.714486374,578.4,611.1,10
LAG-9,2,4.505570952,0.219824433,0.450557095,180.3,820.2,10
MAJ-1,2,6.87497288,0.356047454,0.687497288,246.1,691.2,10
MAJ-10,2,7.50914165,0.39250745,0.750914165,368.8,939.6,10
MAJ-11,2,7.044927802,0.3658186,0.70449278,254.5,695.7,10
MAJ-2,2,13.35487669,0.728593817,1.335487669,511.4,701.9,10
MAJ-3,2,16.18364037,0.891226728,1.618364037,698.9,784.2,10
MAJ-4,2,6.808576352,0.352230146,0.680857635,291.4,827.3,10
MAJ-5,2,16.2528517,0.895205866,1.62528517,793.6,886.5,10
MAJ-6,2,10.18595639,0.546404425,1.018595639,355.6,650.8,10
MAJ-7,2,18.73384407,1.037844508,1.873384407,756.9,729.3,10
MAJ-8,2,10.64779045,0.572956455,1.064779045,675,1178.1,10
MAJ-9,2,11.30824127,0.610927474,1.130824127,628.4,1028.6,10
PESC-1,2,25.06106785,1.401612903,2.506106785,608.3,434,10
PESC-10,2,11.60491628,0.627984085,1.160491628,473.5,754,10
PESC-11,2,16.24539274,0.894777031,1.624539274,585.9,654.8,10
PESC-2,2,23.25359796,1.297696803,2.325359796,755,581.8,10
PESC-3,2,15.56406599,0.855605801,1.556406599,548.7,641.3,10
PESC-4,2,24.13726255,1.348500957,2.413726255,634.2,470.3,10
PESC-5,2,22.64611248,1.262770898,2.264611248,652.6,516.8,10
PESC-6,2,16.98497753,0.937297666,1.698497753,550.1,586.9,10
PESC-7,2,15.33091857,0.842201555,1.533091857,552.4,655.9,10
PESC-9,2,11.56558005,0.625722543,1.156558005,433,692,10
SAN-1,2,10.44501308,0.561298262,1.044501308,364.9,650.1,10
SAN-10,2,8.076432515,0.425122463,0.807643252,364.5,857.4,10
SAN-11,2,8.346185591,0.440631263,0.834618559,351.8,798.4,10
SAN-2,2,28.05891367,1.573966783,2.805891367,1630,1035.6,10
SAN-3,2,19.90516554,1.105186797,1.990516554,1218.8,1102.8,10
SAN-4,2,9.981609854,0.534656016,0.998160985,415,776.2,10
SAN-5,2,26.16920742,1.465322702,2.616920742,974,664.7,10
SAN-6,2,78.97852231,4.501466276,7.897852231,614,136.4,10
SAN-7,2,12.02076279,0.651892172,1.202076279,754.5,1157.4,10
SAN-9,2,7.638089433,0.39992099,0.763808943,303.7,759.4,10
SCT-1,2,7.776110305,0.407856166,0.77761103,417.4,1023.4,10
SCT-10,2,4.312669422,0.208734027,0.431266942,316.9,1518.2,10
SCT-11,2,8.517457082,0.450478102,0.851745708,381.6,847.1,10
SCT-3,2,57.27794727,3.253844296,5.727794727,4041.6,1242.1,10
SCT-4,2,9.57602448,0.511337868,0.957602448,496.1,970.2,10
SCT-5,2,15.06483692,0.826903835,1.506483692,743.8,899.5,10
SCT-6,2,10.85643553,0.584951998,1.085643553,524,895.8,10
SCT-7,2,40.86360562,2.310141509,4.086360562,195.9,84.8,10
SCT-8,2,32.97748367,1.856748042,3.297748367,403.1,217.1,10
SCT-9,2,9.830683292,0.52597886,0.983068329,1059.9,2015.1,10
